<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;D;241228;0;271.37;273.99;270.4;272.83;39560080
SBER;D;241230;0;273.99;279.49;273.7;279.43;52353840
SBER;D;250103;0;279.99;280.41;271.8;272.25;42928720
SBER;D;250106;0;270.88;274.41;270.07;274.37;28260720
SBER;D;250108;0;273.39;277.87;273.09;277;26185200
SBER;D;250109;0;276.89;278.77;270.73;271.8;52866520
SBER;D;250110;0;272.32;279.53;270.27;278.77;71104590
SBER;D;250113;0;280.65;284.75;278.6;279.8;66252420
SBER;D;250114;0;279.82;282.36;277.41;279.85;45983040
SBER;D;250115;0;280;282.82;276.06;282.77;52822640
SBER;D;250116;0;283.72;284;281.18;281.8;49321630
SBER;D;250117;0;282.2;284.64;280.19;283.53;51815780
SBER;D;250120;0;285.11;286.23;277.61;278.19;67543880
SBER;D;250121;0;279.39;281.85;276.32;281.85;40374630
SBER;D;250122;0;281.94;284;280.2;280.36;47032130
SBER;D;250123;0;280.79;280.79;277.35;280.49;38509890
SBER;D;250124;0;281;282.75;279.25;280.74;32083360
SBER;D;250127;0;280.72;280.97;275.01;275.23;39028630
SBER;D;250128;0;275.25;279.26;274.01;278.35;39024990
SBER;D;250129;0;277.95;282.18;277.12;280.36;39150990
SBER;D;250130;0;280.37;282.5;280.36;281.97;28018670
SBER;D;250131;0;281.83;284.11;280.27;280.73;40327370
SBER;D;250203;0;280.21;280.35;278;279.55;30335260
SBER;D;250204;0;279.55;281.41;275.7;277.4;23982810
SBER;D;250205;0;277.3;283.89;275.34;282.88;43063150
SBER;D;250206;0;283.89;288.92;282.09;287.15;69290140
SBER;D;250207;0;287.66;288.9;285.08;285.81;27610110
SBER;D;250210;0;287.64;294.55;287.61;289.94;72903060
SBER;D;250211;0;290.42;294.1;289.3;294.06;55991750
SBER;D;250212;0;294.3;314.4;291.3;314;185802940
SBER;D;250213;0;315.61;318.72;307.2;310.1;116571990
SBER;D;250214;0;315.59;317.84;303.06;309.87;126690930
SBER;D;250217;0;314;319.55;312.31;319.5;84607980
SBER;D;250218;0;319.9;320.92;310.21;312.95;84855800
SBER;D;250219;0;313.53;317.25;311.01;315.91;50473290
SBER;D;250220;0;315.91;317.96;314.02;315.05;33153140
SBER;D;250221;0;315.48;316.69;312;314.74;32724140
SBER;D;250224;0;314.93;316.4;313;316.03;35706150
SBER;D;250225;0;316.03;318.59;315.62;316.97;38812180
SBER;D;250226;0;317;317.45;308.31;310.22;73822090
SBER;D;250227;0;310.22;312.45;305.43;307.1;60919290
SBER;D;250228;0;306.01;310.4;304.05;309.63;65631160
SBER;D;250301;0;309.84;310.94;309.47;310.11;1138430
SBER;D;250302;0;309.5;309.63;306.8;307.44;1885110
SBER;D;250303;0;306.45;307.92;300.2;305.5;66383120
SBER;D;250304;0;306.43;318.5;306.14;316.4;88099480
SBER;D;250305;0;316.5;318.3;313;313.56;57710050
SBER;D;250306;0;313.63;317.43;313.57;315.18;31957120
SBER;D;250307;0;315.3;321.87;310.69;316.92;110870150
SBER;D;250310;0;317;320.63;316.37;317.57;39294670
SBER;D;250311;0;317.78;321.98;315.57;319.69;64926270
SBER;D;250312;0;319.8;320.9;315.8;318.39;41920410
SBER;D;250313;0;318.39;320.5;312.5;316.37;78546460
SBER;D;250314;0;315.91;321.1;314.12;320.51;51691040
SBER;D;250315;0;320.69;321.3;319.82;320.74;1455280
SBER;D;250316;0;320.52;323.5;320.52;323.44;5680630
SBER;D;250317;0;323.45;326.97;322.62;326.02;58625040
SBER;D;250318;0;326.19;329.77;323.82;324.06;72941970
SBER;D;250319;0;324.49;326.88;322.3;325.3;39792530
SBER;D;250320;0;325.41;326;321.8;324.05;42352140
SBER;D;250321;0;324;326.08;322.15;323.26;28693860
SBER;D;250324;0;323.26;323.94;318.51;319.47;33031030
SBER;D;250325;0;320;322.2;314.65;319.8;48324870
SBER;D;250326;0;320;320.88;315.01;315.23;20575860
SBER;D;250327;0;315.8;317.16;311.95;311.96;36144680
SBER;D;250328;0;311.95;313.65;305.65;308.04;51856020
SBER;D;250329;0;307.8;308.3;302.64;303.89;5739820
SBER;D;250330;0;303.2;305.3;298.8;298.8;8739360
