<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;D;240403;0;300.39;307.13;300.17;306.72;58210390
SBER;D;240404;0;306.8;307.77;304.36;304.61;29046010
SBER;D;240405;0;304.65;306.5;303.7;306.1;19315070
SBER;D;240408;0;306.5;308.6;306.22;307.75;24816860
SBER;D;240409;0;308.1;309.35;305.51;306.76;31960600
SBER;D;240410;0;306.76;307.14;304.62;306.48;20618060
SBER;D;240411;0;306.64;308;305.7;306.95;20511760
SBER;D;240412;0;307.41;307.87;306.3;307.1;16001210
SBER;D;240415;0;307.4;308.39;306.64;307.99;20711610
SBER;D;240416;0;308;308.65;307;308.29;17030710
SBER;D;240417;0;308.64;309.74;305.91;306.59;28070320
SBER;D;240418;0;306.02;308.29;305.05;307.99;20296500
SBER;D;240419;0;308.02;308.38;306.8;307.38;14563250
SBER;D;240422;0;307.99;315;307.38;314.99;68916500
SBER;D;240423;0;315.3;315.79;306.26;307.39;92606890
SBER;D;240424;0;307.52;309.79;306.65;307.94;26515970
SBER;D;240425;0;307.96;309.07;307.45;308.41;15934990
SBER;D;240426;0;308.5;309.9;308;309;21126710
SBER;D;240427;0;309.2;309.99;308.7;308.98;13089900
SBER;D;240429;0;309.13;309.6;307.65;308.97;10004910
SBER;D;240430;0;309.19;309.49;308.03;308.24;5969290
SBER;D;240502;0;308.71;309.19;306.8;307.37;16246440
SBER;D;240503;0;307.16;308.29;304.34;307.53;30440790
SBER;D;240506;0;308.08;308.09;305.55;306.01;19100370
SBER;D;240507;0;306.25;308.87;306.21;308.22;16606530
SBER;D;240508;0;308.41;311.83;308.08;311.21;33875380
SBER;D;240510;0;311.49;313.5;311.31;313.49;16675700
SBER;D;240513;0;314.1;315.7;314.04;314.85;21503920
SBER;D;240514;0;314.98;318.41;313.58;318.12;35181520
SBER;D;240515;0;318.2;320.16;317.7;319.7;28195960
SBER;D;240516;0;320.01;322.91;320;322.91;27790120
SBER;D;240517;0;322.95;323.5;320.02;323.16;24321350
SBER;D;240520;0;324;324.85;318.94;321.08;36547050
SBER;D;240521;0;320.89;322.23;318;320.64;33999260
SBER;D;240522;0;320.84;323.1;320.84;322.93;18635350
SBER;D;240523;0;322.8;324;321.23;323.54;17835590
SBER;D;240524;0;323.83;324.48;319.78;321;26553810
SBER;D;240527;0;321.08;321.95;315.5;317.09;45678990
SBER;D;240528;0;317.49;320.9;315.82;318.22;30148450
SBER;D;240529;0;318.4;320.4;315.92;320.38;22961680
SBER;D;240530;0;320.91;321.55;316;316.63;26931430
SBER;D;240531;0;316.5;318.49;309.8;313.11;49135220
SBER;D;240603;0;313.5;315.5;305;310.95;61756350
SBER;D;240604;0;310.97;316.5;308.8;316.49;33007760
SBER;D;240605;0;316.63;318.28;313.85;314.72;27769570
SBER;D;240606;0;314.7;316.45;311.15;313.08;28304600
SBER;D;240607;0;313.61;320.64;312.73;319.9;44451740
SBER;D;240610;0;320.79;321.98;315.21;317.28;26271510
SBER;D;240611;0;317.5;319.84;315.88;317.8;20045280
SBER;D;240613;0;305.83;317.82;304.14;317.71;40596660
SBER;D;240614;0;317.8;320.7;316.2;319.35;21471310
SBER;D;240617;0;320;320.45;316.85;317.65;15421940
SBER;D;240618;0;317.65;318;313.02;314.34;21995830
SBER;D;240619;0;314.38;314.78;307.51;310.7;42166660
SBER;D;240620;0;310.71;314.72;306.02;314.15;72766890
SBER;D;240621;0;314.9;316;312.6;314.14;29078260
SBER;D;240624;0;314.57;319;314.14;317.25;29541850
SBER;D;240625;0;317.42;319.89;316.28;319.8;25961320
SBER;D;240626;0;320.1;324.56;319.8;324.55;42419730
SBER;D;240627;0;324.8;327.83;322.63;327.16;46744210
SBER;D;240628;0;327.83;329.3;325.8;327.15;40401840
SBER;D;240701;0;327.68;329;326.25;327.1;31651010
SBER;D;240702;0;327.3;328.87;326.82;328.37;21147250
SBER;D;240703;0;328.6;330.45;327;328.2;32149800
SBER;D;240704;0;328.37;329.57;323.81;324.66;40717120
SBER;D;240705;0;324.72;327;321.01;325;40395560
SBER;D;240708;0;325.76;327.44;323.74;324.07;27707420
SBER;D;240709;0;324.32;325.33;317.5;319.99;54117710
SBER;D;240710;0;319.01;320.3;314.3;316.68;88434130
SBER;D;240711;0;289.96;296.98;285.22;295.87;163673770
SBER;D;240712;0;296.01;297.48;290.97;292.21;49886960
SBER;D;240715;0;292.93;293.86;283.5;284.38;58676410
SBER;D;240716;0;284.49;285.69;276.7;285.25;82828490
SBER;D;240717;0;285.84;289.96;283.23;284.68;42767400
SBER;D;240718;0;284.69;289.99;282.73;289.83;34064140
SBER;D;240719;0;290.67;292.58;289.2;289.9;30979970
SBER;D;240722;0;291;294.95;291;294.71;33311040
SBER;D;240723;0;295.45;295.48;293.36;294.39;22093540
SBER;D;240724;0;294.38;296.67;293.2;295.69;24544600
SBER;D;240725;0;295.7;297.3;294.2;296.37;22844710
SBER;D;240726;0;296.4;300;292.67;293.3;84884940
SBER;D;240729;0;292.94;292.94;286;286.58;52219730
SBER;D;240730;0;286.5;291.99;284.32;290;42534130
SBER;D;240731;0;290.46;291.2;288.01;289.3;25920100
SBER;D;240801;0;289.75;290.69;287.04;287.21;18623090
SBER;D;240802;0;287.21;287.99;284.37;286.04;30076980
SBER;D;240805;0;282.79;283.46;275.17;275.49;81937270
SBER;D;240806;0;277.02;281.16;276.35;279.4;43202810
SBER;D;240807;0;280.01;283.27;277.21;282.2;48382920
SBER;D;240808;0;283.25;285.42;280;281.09;42244110
SBER;D;240809;0;280.98;282.67;279.62;281.44;22241490
SBER;D;240812;0;280.17;281.5;278.03;280.74;27637540
SBER;D;240813;0;281.05;284.33;280.42;283.92;24020180
SBER;D;240814;0;284.2;284.7;280.12;280.32;21714850
SBER;D;240815;0;280.62;280.85;276.73;278.01;28609160
SBER;D;240816;0;278.06;279;274.32;274.6;26162430
SBER;D;240819;0;275.08;275.56;265.02;268.17;68554390
SBER;D;240820;0;268.35;269.49;263.36;266.2;54188810
SBER;D;240821;0;266.16;267.8;263.86;266.93;37082330
SBER;D;240822;0;266.93;268.5;260.15;261.6;47832270
SBER;D;240823;0;261.7;262.8;255.56;259.5;76692590
SBER;D;240826;0;263.55;266.95;261.54;265.39;49740810
SBER;D;240827;0;265.82;266.07;259.82;260.5;32322390
SBER;D;240828;0;259.9;262.47;254.99;262.47;47819940
SBER;D;240829;0;262.59;264.19;258.36;260.31;34789950
SBER;D;240830;0;260.55;261.8;254;254.45;46093930
SBER;D;240902;0;254.03;254.2;242.65;244.31;97567000
SBER;D;240903;0;244.39;250;240.01;244.04;105623660
SBER;D;240904;0;244.51;253.5;242.8;253.01;70628230
SBER;D;240905;0;255;258.17;251.11;252.82;78275280
SBER;D;240906;0;253.04;255.35;250.31;254.77;41321430
SBER;D;240909;0;256;263.45;255.3;263.31;66034220
SBER;D;240910;0;264.6;264.61;258.7;261.29;57661380
SBER;D;240911;0;260.8;262;257.5;258.2;38187230
SBER;D;240912;0;257.79;258.68;252.85;254.93;46294910
